latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1.575,-60.659,306.7,1.2,1.1,2019-04-05,0220,T,12,6.0NRT,286.6,6.9,N
1.719,-60.298,304.5,1.2,1.1,2019-04-05,0220,T,60,6.0NRT,290.4,5.4,N
1.695,-60.465,305.7,1.2,1.1,2019-04-05,0220,T,65,6.0NRT,291.4,5.8,N
1.686,-60.594,303.9,1.2,1.1,2019-04-05,0220,T,14,6.0NRT,287.8,5.7,N
1.746,-60.887,308.3,1.3,1.1,2019-04-05,0220,T,72,6.0NRT,283.1,11.8,N
1.74,-61.07,366.7,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,271.9,152.5,N
1.781,-60.858,303.9,1.2,1.1,2019-04-05,0220,T,57,6.0NRT,276.3,7.6,N
1.779,-60.869,336.8,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,277.2,53.3,N
1.901,-60.518,315.5,1.2,1.1,2019-04-05,0220,T,91,6.0NRT,290.7,14.4,N
1.9,-60.528,335.7,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,291.9,44.3,N
1.898,-60.539,304.5,1.2,1.1,2019-04-05,0220,T,22,6.0NRT,289.7,4.4,N
1.928,-60.468,325.2,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,287.8,27.7,N
1.927,-60.479,312.4,1.2,1.1,2019-04-05,0220,T,85,6.0NRT,287.5,12.2,N
1.938,-60.47,367.3,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,289.9,135.2,N
1.936,-60.48,323.8,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,288.5,24.8,N
1.942,-60.465,334.5,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,287.8,42.9,N
1.94,-60.476,330,1.2,1.1,2019-04-05,0220,T,100,6.0NRT,288.8,35.1,N
1.945,-60.508,308.7,1.2,1.1,2019-04-05,0220,T,75,6.0NRT,291.5,8.2,N
1.984,-60.721,300.5,1.2,1.1,2019-04-05,0220,T,29,6.0NRT,275.5,6.4,N
2.007,-61.058,313.3,1.3,1.1,2019-04-05,0220,T,87,6.0NRT,291.3,14.5,N
2.006,-61.069,326.2,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,292.2,32.2,N
2.125,-60.536,316.3,1.2,1.1,2019-04-05,0220,T,93,6.0NRT,294.8,15.1,N
2.081,-60.836,308.2,1.2,1.1,2019-04-05,0220,T,63,6.0NRT,292,7.7,N
2.109,-60.987,306.3,1.3,1.1,2019-04-05,0220,T,31,6.0NRT,293.5,6,N
2.297,-60.461,307.5,1.2,1.1,2019-04-05,0220,T,72,6.0NRT,293.3,6.2,N
2.307,-60.462,305.4,1.2,1.1,2019-04-05,0220,T,55,6.0NRT,293,4.5,N
2.245,-61.808,312.1,1.4,1.2,2019-04-05,0220,T,84,6.0NRT,288.8,15.4,N
2.479,-61.255,322.3,1.3,1.1,2019-04-05,0220,T,100,6.0NRT,287.6,25,N
2.489,-61.257,310.9,1.3,1.1,2019-04-05,0220,T,36,6.0NRT,286.9,10.6,N
2.499,-61.259,309.2,1.3,1.1,2019-04-05,0220,T,55,6.0NRT,287,9.5,N
2.497,-61.271,308.9,1.3,1.1,2019-04-05,0220,T,56,6.0NRT,288.2,8.7,N
2.518,-61.56,308.9,1.3,1.1,2019-04-05,0220,T,75,6.0NRT,290.3,7.7,N
2.748,-60.123,303.4,1.1,1.1,2019-04-05,0220,T,55,6.0NRT,286.5,5.1,N
2.757,-60.124,305.9,1.1,1.1,2019-04-05,0220,T,66,6.0NRT,286.1,7.1,N
2.529,-61.679,304,1.4,1.2,2019-04-05,0220,T,58,6.0NRT,277.9,9.3,N
2.556,-61.572,310.6,1.3,1.1,2019-04-05,0220,T,81,6.0NRT,292.6,11.5,N
2.554,-61.584,318.3,1.3,1.2,2019-04-05,0220,T,97,6.0NRT,293.4,21,N
2.881,-60.098,307.4,1.1,1,2019-04-05,0220,T,71,6.0NRT,283.2,8.5,N
